eventid,iyear,imonth,iday,nkill
198707280012,1987,7,28,1
198102060008,1981,2,6,0
197406010002,1974,6,1,0
198601220019,1986,1,22,0
198711070012,1987,11,7,0
198707210016,1987,7,21,0
198505160041,1985,5,16,0
198301010016,1983,1,1,0
198101120006,1981,1,12,0
198704060005,1987,4,6,0
198103270003,1981,3,27,2
198204230003,1982,4,23,0
198105270003,1981,5,27,2
198601220003,1986,1,22,0
198002210001,1980,2,21,0
198406260007,1984,6,26,0
198305200006,1983,5,20,0
198706130001,1987,6,13,0
198003170012,1980,3,17,0
198103110002,1981,3,11,0
198310000002,1983,10,0,0
198812060011,1988,12,6,0
198711190028,1987,11,19,0
198010100001,1980,10,10,0
198909050015,1989,9,5,0
198312080003,1983,12,8,1
198506100012,1985,6,10,0
198506100002,1985,6,10,0
198308250003,1983,8,25,0
198705140002,1987,5,14,0
198811190005,1988,11,19,0
198407100002,1984,7,10,0
198201250004,1982,1,25,0
198712040003,1987,12,4,0
198903210007,1989,3,21,0
198904040005,1989,4,4,0
198605130005,1986,5,13,0
198102200003,1981,2,20,0
198207030002,1982,7,3,16
198109020004,1981,9,2,0
198901260008,1989,1,26,0
198002190001,1980,2,19,0
198807020001,1988,7,2,0
198309150006,1983,9,15,0
198307000002,1983,7,0,0
198507170004,1985,7,17,0
198711190007,1987,11,19,0
198310180005,1983,10,18,0
198212290001,1982,12,29,0
198009210001,1980,9,21,0
198903150006,1989,3,15,2
198011280004,1980,11,28,0
198802230011,1988,2,23,0
198707210017,1987,7,21,0
198012180001,1980,12,18,0
198506100023,1985,6,10,0
198201040001,1982,1,4,0
198505160020,1985,5,16,0
198802150004,1988,2,15,0
198707210023,1987,7,21,0
198711060003,1987,11,6,0
198904120012,1989,4,12,0
198711190010,1987,11,19,0
198211110002,1982,11,11,0
198111250004,1981,11,25,0
198505160029,1985,5,16,0
198603160007,1986,3,16,0
198910310012,1989,10,31,0
198601220005,1986,1,22,0
198107060003,1981,7,6,0
198604010031,1986,4,1,0
198304290007,1983,4,29,50
198711060001,1987,11,6,0
198505160050,1985,5,16,0
198604010027,1986,4,1,0
198404010008,1984,4,1,1
198501200003,1985,1,20,0
198112210001,1981,12,21,0
198802110010,1988,2,11,0
198708100003,1987,8,10,0
198403040003,1984,3,4,0
198904120010,1989,4,12,0
198003170014,1980,3,17,0
198505160042,1985,5,16,0
198706040009,1987,6,4,0
198601220002,1986,1,22,0
198905220009,1989,5,22,0
198810060003,1988,10,6,0
198902170009,1989,2,17,0
198210090003,1982,10,9,1
198310300006,1983,10,30,2
198208150002,1982,8,15,0
198208040008,1982,8,4,0
198611150002,1986,11,15,0
198103170006,1981,3,17,0
198711020005,1987,11,2,0
198506100020,1985,6,10,0
198112260002,1981,12,26,0
198507170008,1985,7,17,0
198506100016,1985,6,10,0
198804070001,1988,4,7,0
198009130008,1980,9,13,0
198607240012,1986,7,24,0
198308120001,1983,8,12,0
198902170015,1989,2,17,0
198505160045,1985,5,16,0
198904120015,1989,4,12,0
197905130009,1979,5,13,0
198206010008,1982,6,1,0
198402040002,1984,2,4,0
198501200004,1985,1,20,0
198210060002,1982,10,6,0
198805030001,1988,5,3,0
198803050006,1988,3,5,1
198802130003,1988,2,13,0
198611160005,1986,11,16,10
197901250009,1979,1,25,0
198309270003,1983,9,27,0
198403010024,1984,3,1,1
198009120003,1980,9,12,0
198603160005,1986,3,16,0
198212290002,1982,12,29,0
198108130005,1981,8,13,0
198712050001,1987,12,5,0
198309220008,1983,9,22,0
197803120003,1978,3,12,0
198902150012,1989,2,15,0
198907190008,1989,7,19,0
198207220008,1982,7,22,0
198707210004,1987,7,21,0
197912240001,1979,12,24,0
198902030003,1989,2,3,1
198911140004,1989,11,14,0
198104020005,1981,4,2,1
198707280006,1987,7,28,1
198407140005,1984,7,14,31
197910280002,1979,10,28,0
198803180001,1988,3,18,0
198103160006,1981,3,16,0
198711190011,1987,11,19,0
198101260013,1981,1,26,0
198308070007,1983,8,7,0
198711060002,1987,11,6,0
198801040002,1988,1,4,0
198407220004,1984,7,22,13
198905030002,1989,5,3,0
198505160017,1985,5,16,0
198904120013,1989,4,12,0
198602120003,1986,2,12,0
198204230002,1982,4,23,0
198601220016,1986,1,22,0
198911140005,1989,11,14,0
198802230003,1988,2,23,0
198704060012,1987,4,6,0
198809060003,1988,9,6,0
197811070004,1978,11,7,0
198208040001,1982,8,4,0
198811120004,1988,11,12,0
198006160005,1980,6,16,0
198208290001,1982,8,29,0
198008190006,1980,8,19,0
198806130004,1988,6,13,0
198101210004,1981,1,21,0
197608310001,1976,8,31,0
198505160028,1985,5,16,0
198009070003,1980,9,7,0
198707280013,1987,7,28,0
198707140004,1987,7,14,3
198208270009,1982,8,27,0
198507170007,1985,7,17,0
198802240012,1988,2,24,0
198011070003,1980,11,7,0
198711190023,1987,11,19,0
198201040006,1982,1,4,0
198402040001,1984,2,4,0
198707210021,1987,7,21,0
198812060003,1988,12,6,0
