eventid,iyear,imonth,iday,nkill
198004020003,1980,4,2,13
198004030005,1980,4,3,3
198004050001,1980,4,5,1
198004070006,1980,4,7,1
198004070009,1980,4,7,7
198004070010,1980,4,7,2
198004090003,1980,4,9,4
198004090005,1980,4,9,0
198004090006,1980,4,9,7
198004100006,1980,4,10,0
198004120003,1980,4,12,0
198004120004,1980,4,12,0
198004120005,1980,4,12,0
198004120006,1980,4,12,0
198004120007,1980,4,12,0
198004140007,1980,4,14,7
198004150006,1980,4,15,2
198004150007,1980,4,15,2
198004150008,1980,4,15,16
198004150013,1980,4,15,0
198004160007,1980,4,16,8
198004160010,1980,4,16,3
198004160011,1980,4,16,0
198004170010,1980,4,17,2
198004170018,1980,4,17,3
198004170019,1980,4,17,8
198004170020,1980,4,17,3
198004180024,1980,4,18,0
198004200001,1980,4,20,1
198004210002,1980,4,21,3
198004220013,1980,4,22,1
198004220015,1980,4,22,4
198004230011,1980,4,23,4
198004240017,1980,4,24,4
198004270003,1980,4,27,6
198004300005,1980,4,30,4
198004300006,1980,4,30,0
198004300007,1980,4,30,14
198004300008,1980,4,30,1
198005010003,1980,5,1,9
198005050007,1980,5,5,2
198005080005,1980,5,8,0
198005150009,1980,5,15,3
198005160006,1980,5,16,19
198005170003,1980,5,17,50
198005170004,1980,5,17,50
198005200003,1980,5,20,3
198005200008,1980,5,20,2
198005200009,1980,5,20,3
198005200012,1980,5,20,2
198005230008,1980,5,23,11
198005230009,1980,5,23,2
198005230010,1980,5,23,3
198005230011,1980,5,23,8
198005260003,1980,5,26,1
198005270002,1980,5,27,8
198005280004,1980,5,28,9
198005280005,1980,5,28,7
198005280014,1980,5,28,11
198005300006,1980,5,30,26
198006020012,1980,6,2,40
198006040006,1980,6,4,1
198006040010,1980,6,4,0
198006040011,1980,6,4,0
198006040012,1980,6,4,0
198006040014,1980,6,4,0
198006050004,1980,6,5,1
198006060004,1980,6,6,2
198006060008,1980,6,6,0
198006090012,1980,6,9,21
198006090013,1980,6,9,18
198006140008,1980,6,14,3
198006150007,1980,6,15,1
198006170005,1980,6,17,4
198006200008,1980,6,20,0
198006200010,1980,6,20,8
198006230007,1980,6,23,0
198006250006,1980,6,25,2
198006260006,1980,6,26,25
198006270005,1980,6,27,0
198007060002,1980,7,6,3
198007060003,1980,7,6,10
198007070004,1980,7,7,1
198007070006,1980,7,7,3
198007080005,1980,7,8,3
198007090021,1980,7,9,0
198007090022,1980,7,9,0
198007090023,1980,7,9,0
198007090024,1980,7,9,0
198007090025,1980,7,9,0
198007110005,1980,7,11,1
198007110006,1980,7,11,0
198007110007,1980,7,11,0
198007130001,1980,7,13,2
198007130002,1980,7,13,1
198007150003,1980,7,15,8
198007220009,1980,7,22,1
198007220010,1980,7,22,1
198007230009,1980,7,23,4
198007280005,1980,7,28,1
198007280012,1980,7,28,32
198007290006,1980,7,29,6
198007310002,1980,7,31,5
198008010003,1980,8,1,2
198008010004,1980,8,1,5
198008040006,1980,8,4,2
198008070004,1980,8,7,47
198008080001,1980,8,8,9
198008080002,1980,8,8,23
198008100001,1980,8,10,10
198008120006,1980,8,12,1
198008140013,1980,8,14,16
198008150003,1980,8,15,300
198008160003,1980,8,16,35
198008190011,1980,8,19,0
198008190012,1980,8,19,0
198008190013,1980,8,19,0
198008190014,1980,8,19,0
198008190015,1980,8,19,1
198008190016,1980,8,19,2
198008200007,1980,8,20,3
198008210006,1980,8,21,2
198008210009,1980,8,21,17
198008220004,1980,8,22,1
198008270004,1980,8,27,25
198009010006,1980,9,1,0
198009020003,1980,9,2,0
198009020004,1980,9,2,4
198009030012,1980,9,3,4
198009040003,1980,9,4,2
198009040004,1980,9,4,1
198009060005,1980,9,6,10
198009070002,1980,9,7,2
198009090001,1980,9,9,60
198009110013,1980,9,11,20
198009110014,1980,9,11,5
198009110016,1980,9,11,0
